Language,subj,age,age_scaled,task,prompt,spanish,num_responses,response,correct,correct_either,wrong_adjacent,wrong_euc_dist
Shipibo,sh_22,7.8,-0.6654054054054059,Production,312,Negro,1,Wiso,1,1,,
Shipibo,sh_22,7.8,-0.6654054054054059,Production,320,Mierda sol,1,Barin Poi,1,1,,
Shipibo,sh_22,7.8,-0.6654054054054059,Production,325,Morado,1,Poa,1,1,,
Shipibo,sh_23,8.1,-0.3654054054054061,Comprehension,Ami/Poa,Morado,1,325,1,1,,
Shipibo,sh_23,8.1,-0.3654054054054061,Comprehension,Barin Poi,Mierda sol,1,320,1,1,,
Shipibo,sh_23,8.1,-0.3654054054054061,Comprehension,Joshin,Rojo,2,"245, 297",0.5,0.5,1,93.1910736068643
Shipibo,sh_23,8.1,-0.3654054054054061,Comprehension,Joxo,Blanco,1,274,1,1,,
Shipibo,sh_23,8.1,-0.3654054054054061,Comprehension,Nai,Celeste,1,1,1,1,,
Shipibo,sh_23,8.1,-0.3654054054054061,Comprehension,Panshin,Amarillo,1,297,1,1,,
Shipibo,sh_23,8.1,-0.3654054054054061,Comprehension,Pei/Xo,Verde,2,"234, 1",0.5,0.5,0,75.71344992800157
Shipibo,sh_23,8.1,-0.3654054054054061,Comprehension,Wiso,Negro,1,312,1,1,,
Shipibo,sh_23,8.1,-0.3654054054054061,Comprehension,Yankon,Azul/Verde,4,"234, 320, 1, 325",1,1,,
Shipibo,sh_23,8.1,-0.3654054054054061,Production,1,Celeste,2,"unpax, agua",0,0,,
Shipibo,sh_23,8.1,-0.3654054054054061,Production,234,Verde,2,"Yankon, Verde",0.5,1,,
Shipibo,sh_23,8.1,-0.3654054054054061,Production,245,Rojo,2,"Joshin, Rojo",0.5,1,,
Shipibo,sh_23,8.1,-0.3654054054054061,Production,274,Blanco,1,Joxo,1,1,,
Shipibo,sh_23,8.1,-0.3654054054054061,Production,297,Amarillo,1,Panshin,1,1,,
Shipibo,sh_23,8.1,-0.3654054054054061,Production,312,Negro,2,"Wiso, Negro",0.5,1,,
Shipibo,sh_23,8.1,-0.3654054054054061,Production,320,Mierda sol,1,Barin Poi,1,1,,
Shipibo,sh_23,8.1,-0.3654054054054061,Production,325,Morado,1,Violeta,0,1,,
Shipibo,sh_24,7.7,-0.7654054054054056,Comprehension,Ami/Poa,Morado,1,325,1,1,,
Shipibo,sh_24,7.7,-0.7654054054054056,Comprehension,Barin Poi,Mierda sol,1,320,1,1,,
Shipibo,sh_24,7.7,-0.7654054054054056,Comprehension,Joshin,Rojo,2,"245, 325",1,1,,
Shipibo,sh_24,7.7,-0.7654054054054056,Comprehension,Joxo,Blanco,1,274,1,1,,
Shipibo,sh_24,7.7,-0.7654054054054056,Comprehension,Nai,Celeste,1,1,1,1,,
Shipibo,sh_24,7.7,-0.7654054054054056,Comprehension,Panshin,Amarillo,1,297,1,1,,
Shipibo,sh_24,7.7,-0.7654054054054056,Comprehension,Pei/Xo,Verde,2,"234, 1",0.5,0.5,0,75.71344992800157
Shipibo,sh_24,7.7,-0.7654054054054056,Comprehension,Wiso,Negro,1,312,1,1,,
Shipibo,sh_24,7.7,-0.7654054054054056,Comprehension,Yankon,Azul/Verde,4,"234, 274, 297, 320",0.5,0.5,1,
Shipibo,sh_24,7.7,-0.7654054054054056,Production,1,Celeste,2,"unpasx, agua",0,0,,
Shipibo,sh_24,7.7,-0.7654054054054056,Production,234,Verde,1,Yankon,1,1,,
Shipibo,sh_24,7.7,-0.7654054054054056,Production,245,Rojo,1,Joshin,1,1,,
Shipibo,sh_24,7.7,-0.7654054054054056,Production,274,Blanco,1,Joxo,1,1,,
Shipibo,sh_24,7.7,-0.7654054054054056,Production,297,Amarillo,1,Panshin,1,1,,
Shipibo,sh_24,7.7,-0.7654054054054056,Production,312,Negro,2,"Wiso, Marron",0.5,0.5,,
Shipibo,sh_24,7.7,-0.7654054054054056,Production,320,Mierda sol,1,Barin Poi,1,1,,
Shipibo,sh_24,7.7,-0.7654054054054056,Production,325,Morado,2,"Kari, Violeta",0.5,1,,
Shipibo,sh_25,9.7,1.2345945945945935,Comprehension,Ami/Poa,Morado,1,325,1,1,,
Shipibo,sh_25,9.7,1.2345945945945935,Comprehension,Barin Poi,Mierda sol,1,1,0,0,0,98.427042015901307
Shipibo,sh_25,9.7,1.2345945945945935,Comprehension,Joshin,Rojo,2,"245, 325",1,1,,
Shipibo,sh_25,9.7,1.2345945945945935,Comprehension,Joxo,Blanco,1,274,1,1,,
Shipibo,sh_25,9.7,1.2345945945945935,Comprehension,Nai,Celeste,1,1,1,1,,
Shipibo,sh_25,9.7,1.2345945945945935,Comprehension,Panshin,Amarillo,1,297,1,1,,
Shipibo,sh_25,9.7,1.2345945945945935,Comprehension,Pei/Xo,Verde,2,"234, 320",0.5,0.5,0,62.08941536204057
Shipibo,sh_25,9.7,1.2345945945945935,Comprehension,Wiso,Negro,1,312,1,1,,
Shipibo,sh_25,9.7,1.2345945945945935,Comprehension,Yankon,Azul/Verde,4,"234, 1, 320, 325",1,1,,
Shipibo,sh_25,9.7,1.2345945945945935,Production,1,Celeste,3,"Yankon, unpasx, Nai",0.6666666666666666,0.6666666666666666,,
Shipibo,sh_25,9.7,1.2345945945945935,Production,234,Verde,2,"Yankon, Pei",1,1,,
Shipibo,sh_25,9.7,1.2345945945945935,Production,245,Rojo,1,Joshin,1,1,,
Shipibo,sh_25,9.7,1.2345945945945935,Production,274,Blanco,1,Joxo,1,1,,
Shipibo,sh_25,9.7,1.2345945945945935,Production,297,Amarillo,2,"Panshin, pei panshinshoko",0.5,0.5,,
Shipibo,sh_25,9.7,1.2345945945945935,Production,312,Negro,3,"Wiso, naiwiso, barriwiso",0.3333333333333333,0.3333333333333333,,
Shipibo,sh_25,9.7,1.2345945945945935,Production,320,Mierda sol,2,"Yankon, manish",0.5,0.5,,
Shipibo,sh_25,9.7,1.2345945945945935,Production,325,Morado,1,Violeta,0,1,,
Shipibo,sh_26,8.5,0.03459459459459424,Comprehension,Ami/Poa,Morado,1,312,0,0,1,49.65288410555826
Shipibo,sh_26,8.5,0.03459459459459424,Comprehension,Barin Poi,Mierda sol,1,320,1,1,,
Shipibo,sh_26,8.5,0.03459459459459424,Comprehension,Joshin,Rojo,2,"245, 325",1,1,,
Shipibo,sh_26,8.5,0.03459459459459424,Comprehension,Joxo,Blanco,1,274,1,1,,
Shipibo,sh_26,8.5,0.03459459459459424,Comprehension,Nai,Celeste,1,1,1,1,,
Shipibo,sh_26,8.5,0.03459459459459424,Comprehension,Panshin,Amarillo,1,297,1,1,,
Shipibo,sh_26,8.5,0.03459459459459424,Comprehension,Pei/Xo,Verde,2,"234, 320",0.5,0.5,0,62.08941536204057
Shipibo,sh_26,8.5,0.03459459459459424,Comprehension,Wiso,Negro,1,312,1,1,,
Shipibo,sh_26,8.5,0.03459459459459424,Comprehension,Yankon,Azul/Verde,4,"234, 1, 320, 297",0.75,0.75,1,
Shipibo,sh_26,8.5,0.03459459459459424,Production,1,Celeste,1,Verde,0,0,,
Shipibo,sh_26,8.5,0.03459459459459424,Production,234,Verde,1,Yankon,1,1,,
Shipibo,sh_26,8.5,0.03459459459459424,Production,245,Rojo,2,"Joshin, Rojo",0.5,1,,
Shipibo,sh_26,8.5,0.03459459459459424,Production,274,Blanco,1,Joxo,1,1,,
Shipibo,sh_26,8.5,0.03459459459459424,Production,297,Amarillo,1,Panshin,1,1,,
Shipibo,sh_26,8.5,0.03459459459459424,Production,312,Negro,1,Wiso,1,1,,
Shipibo,sh_26,8.5,0.03459459459459424,Production,320,Mierda sol,1,barrinpui jisa,0,0,,
Shipibo,sh_26,8.5,0.03459459459459424,Production,325,Morado,1,Amarillo,0,0,,
Shipibo,sh_27,5.4,-3.0654054054054054,Comprehension,Ami/Poa,Morado,1,297,0,0,0,146.31869463605804
Shipibo,sh_27,5.4,-3.0654054054054054,Comprehension,Barin Poi,Mierda sol,1,320,1,1,,
Shipibo,sh_27,5.4,-3.0654054054054054,Comprehension,Joshin,Rojo,2,"297, 320",0.5,0.5,1,93.1910736068643
Shipibo,sh_27,5.4,-3.0654054054054054,Comprehension,Joxo,Blanco,1,274,1,1,,
Shipibo,sh_27,5.4,-3.0654054054054054,Comprehension,Nai,Celeste,1,274,0,0,0,49.223397891653114
Shipibo,sh_27,5.4,-3.0654054054054054,Comprehension,Panshin,Amarillo,1,297,1,1,,
Shipibo,sh_27,5.4,-3.0654054054054054,Comprehension,Pei/Xo,Verde,2,"245, 320",0,0,0,87.97453466125974
Shipibo,sh_27,5.4,-3.0654054054054054,Comprehension,Wiso,Negro,1,312,1,1,,
Shipibo,sh_27,5.4,-3.0654054054054054,Comprehension,Yankon,Azul/Verde,4,"325, 1, 274, 234",0.75,0.75,1,
Shipibo,sh_27,5.4,-3.0654054054054054,Production,1,Celeste,2,"Nai, Joshin",0.5,0.5,0,102.87037328599523
Shipibo,sh_27,5.4,-3.0654054054054054,Production,234,Verde,3,"Joshin, Verde, Joxo",0,0.3333333333333333,0,94.37039521844866
Shipibo,sh_27,5.4,-3.0654054054054054,Production,245,Rojo,2,"Joshin, Rojo",0.5,1,,
Shipibo,sh_27,5.4,-3.0654054054054054,Production,274,Blanco,2,"Joxo, Joshin",0.5,0.5,1,85.85165694382374
Shipibo,sh_27,5.4,-3.0654054054054054,Production,297,Amarillo,1,Rojo,0,0,,
Shipibo,sh_27,5.4,-3.0654054054054054,Production,312,Negro,3,"Verde, Joxo, Joshin",0,0,0.5,71.71183819136093
Shipibo,sh_27,5.4,-3.0654054054054054,Production,320,Mierda sol,3,"Barin Poi, Joxo, Joshin",0.6666666666666666,0.6666666666666666,0,71.46716518793788
Shipibo,sh_27,5.4,-3.0654054054054054,Production,325,Morado,2,"Joxo, Joshin",0.5,0.5,0,77.47574975435863
Shipibo,sh_28,5.5,-2.9654054054054058,Comprehension,Ami/Poa,Morado,1,325,1,1,,
Shipibo,sh_28,5.5,-2.9654054054054058,Comprehension,Barin Poi,Mierda sol,1,234,0,0,0,62.08941536204057
Shipibo,sh_28,5.5,-2.9654054054054058,Comprehension,Joshin,Rojo,2,"245, 320",1,1,,
Shipibo,sh_28,5.5,-2.9654054054054058,Comprehension,Joxo,Blanco,1,274,1,1,,
Shipibo,sh_28,5.5,-2.9654054054054058,Comprehension,Nai,Celeste,1,274,0,0,0,49.223397891653114
Shipibo,sh_28,5.5,-2.9654054054054058,Comprehension,Panshin,Amarillo,1,297,1,1,,
Shipibo,sh_28,5.5,-2.9654054054054058,Comprehension,Pei/Xo,Verde,2,"320, 234",0.5,0.5,0,62.08941536204057
Shipibo,sh_28,5.5,-2.9654054054054058,Comprehension,Wiso,Negro,1,312,1,1,,
Shipibo,sh_28,5.5,-2.9654054054054058,Comprehension,Yankon,Azul/Verde,4,"1, 325, 234, 320",1,1,,
Shipibo,sh_28,5.5,-2.9654054054054058,Production,1,Celeste,2,"jenekeska, Verde",0,0,,
Shipibo,sh_28,5.5,-2.9654054054054058,Production,234,Verde,2,"mancoapei, mango",0,0,,
Shipibo,sh_28,5.5,-2.9654054054054058,Production,245,Rojo,1,Joshin,1,1,,
Shipibo,sh_28,5.5,-2.9654054054054058,Production,274,Blanco,1,Joxo,1,1,,
Shipibo,sh_28,5.5,-2.9654054054054058,Production,297,Amarillo,2,"Barin Poi, Azul",0,0,0,61.75681419892059
Shipibo,sh_28,5.5,-2.9654054054054058,Production,312,Negro,1,Wiso,1,1,,
Shipibo,sh_28,5.5,-2.9654054054054058,Production,320,Mierda sol,1,Verde,0,0,,
Shipibo,sh_28,5.5,-2.9654054054054058,Production,325,Morado,1,,0,0,,
Shipibo,sh_29,9,0.5345945945945942,Comprehension,Ami/Poa,Morado,1,1,0,0,0,58.349317905182055
Shipibo,sh_29,9,0.5345945945945942,Comprehension,Barin Poi,Mierda sol,1,234,0,0,0,62.08941536204057
Shipibo,sh_29,9,0.5345945945945942,Comprehension,Joshin,Rojo,2,"245, 325",1,1,,
Shipibo,sh_29,9,0.5345945945945942,Comprehension,Joxo,Blanco,1,274,1,1,,
Shipibo,sh_29,9,0.5345945945945942,Comprehension,Nai,Celeste,1,325,0,0,0,58.349317905182055
Shipibo,sh_29,9,0.5345945945945942,Comprehension,Panshin,Amarillo,1,297,1,1,,
Shipibo,sh_29,9,0.5345945945945942,Comprehension,Pei/Xo,Verde,2,"320, 274",0,0,0,68.4852759192295
Shipibo,sh_29,9,0.5345945945945942,Comprehension,Wiso,Negro,1,312,1,1,,
Shipibo,sh_29,9,0.5345945945945942,Comprehension,Yankon,Azul/Verde,4,"234, 1, 325, 320",1,1,,
Shipibo,sh_29,9,0.5345945945945942,Production,1,Celeste,1,,0,0,,
Shipibo,sh_29,9,0.5345945945945942,Production,234,Verde,1,Yankon,1,1,,
Shipibo,sh_29,9,0.5345945945945942,Production,245,Rojo,1,Joshin,1,1,,
Shipibo,sh_29,9,0.5345945945945942,Production,274,Blanco,1,Joxo,1,1,,
Shipibo,sh_29,9,0.5345945945945942,Production,297,Amarillo,1,Panshin,1,1,,
Shipibo,sh_29,9,0.5345945945945942,Production,312,Negro,1,Wiso,1,1,,
Shipibo,sh_29,9,0.5345945945945942,Production,320,Mierda sol,1,Yankon,1,1,,
Shipibo,sh_29,9,0.5345945945945942,Production,325,Morado,1,,0,0,,
Shipibo,sh_3,9.6,1.1345945945945939,Comprehension,Ami/Poa,Morado,1,320,0,0,0,100.49231861192177
Shipibo,sh_3,9.6,1.1345945945945939,Comprehension,Barin Poi,Mierda sol,1,297,0,0,0,61.75681419892059
Shipibo,sh_3,9.6,1.1345945945945939,Comprehension,Joshin,Rojo,2,"245, 297",0.5,0.5,1,93.1910736068643
Shipibo,sh_3,9.6,1.1345945945945939,Comprehension,Joxo,Blanco,1,274,1,1,,
Shipibo,sh_3,9.6,1.1345945945945939,Comprehension,Nai,Celeste,1,274,0,0,0,49.223397891653114
Shipibo,sh_3,9.6,1.1345945945945939,Comprehension,Panshin,Amarillo,1,297,1,1,,
Shipibo,sh_3,9.6,1.1345945945945939,Comprehension,Pei/Xo,Verde,2,"312, 234",0.5,0.5,0,59.60879549194061
Shipibo,sh_3,9.6,1.1345945945945939,Comprehension,Wiso,Negro,1,312,1,1,,
Shipibo,sh_3,9.6,1.1345945945945939,Comprehension,Yankon,Azul/Verde,4,"234, 297, 325, 1",0.75,0.75,1,
Shipibo,sh_3,9.6,1.1345945945945939,Production,1,Celeste,1,Azul,0,1,,
Shipibo,sh_3,9.6,1.1345945945945939,Production,234,Verde,2,"Azul, Panshin",0,0,0,119.88323068719829
Shipibo,sh_3,9.6,1.1345945945945939,Production,245,Rojo,2,"Joshin, Rojo",0.5,1,,
Shipibo,sh_3,9.6,1.1345945945945939,Production,274,Blanco,1,Joxo,1,1,,
Shipibo,sh_3,9.6,1.1345945945945939,Production,297,Amarillo,1,Panshin,1,1,,
Shipibo,sh_3,9.6,1.1345945945945939,Production,312,Negro,1,Wiso,1,1,,
Shipibo,sh_3,9.6,1.1345945945945939,Production,320,Mierda sol,1,Marron,0,0,,
Shipibo,sh_3,9.6,1.1345945945945939,Production,325,Morado,2,"Violeta, Joshin",0.5,1,,
Shipibo,sh_30,8,-0.46540540540540576,Comprehension,Ami/Poa,Morado,1,312,0,0,1,49.65288410555826
Shipibo,sh_30,8,-0.46540540540540576,Comprehension,Barin Poi,Mierda sol,1,1,0,0,0,98.427042015901307
Shipibo,sh_30,8,-0.46540540540540576,Comprehension,Joshin,Rojo,2,"245, 274",0.5,0.5,1,85.85165694382374
Shipibo,sh_30,8,-0.46540540540540576,Comprehension,Joxo,Blanco,1,274,1,1,,
Shipibo,sh_30,8,-0.46540540540540576,Comprehension,Nai,Celeste,1,320,0,0,0,98.427042015901307
Shipibo,sh_30,8,-0.46540540540540576,Comprehension,Panshin,Amarillo,1,297,1,1,,
Shipibo,sh_30,8,-0.46540540540540576,Comprehension,Pei/Xo,Verde,2,"234, 320",0.5,0.5,0,62.08941536204057
Shipibo,sh_30,8,-0.46540540540540576,Comprehension,Wiso,Negro,1,312,1,1,,
Shipibo,sh_30,8,-0.46540540540540576,Comprehension,Yankon,Azul/Verde,4,"234, 325, 312, 297",0.5,0.5,1,
Shipibo,sh_30,8,-0.46540540540540576,Production,1,Celeste,1,agur,0,0,,
Shipibo,sh_30,8,-0.46540540540540576,Production,234,Verde,2,"Rojo, Verde",0,0.5,,
Shipibo,sh_30,8,-0.46540540540540576,Production,245,Rojo,2,"Panshin, Joshin",0.5,0.5,1,93.1910736068643
Shipibo,sh_30,8,-0.46540540540540576,Production,274,Blanco,1,Amarillo,0,0,,
Shipibo,sh_30,8,-0.46540540540540576,Production,297,Amarillo,1,Panshin,1,1,,
Shipibo,sh_30,8,-0.46540540540540576,Production,312,Negro,2,"Wiso, Amarillo",0.5,0.5,,
Shipibo,sh_30,8,-0.46540540540540576,Production,320,Mierda sol,1,,0,0,,
Shipibo,sh_30,8,-0.46540540540540576,Production,325,Morado,3,"Panshin, Amarillo, Joshin",0.3333333333333333,0.3333333333333333,0,146.31869463605804
Shipibo,sh_31,7.9,-0.5654054054054054,Comprehension,Ami/Poa,Morado,1,325,1,1,,
Shipibo,sh_31,7.9,-0.5654054054054054,Comprehension,Barin Poi,Mierda sol,1,234,0,0,0,62.08941536204057
Shipibo,sh_31,7.9,-0.5654054054054054,Comprehension,Joshin,Rojo,2,"245, 274",0.5,0.5,1,85.85165694382374
Shipibo,sh_31,7.9,-0.5654054054054054,Comprehension,Joxo,Blanco,1,274,1,1,,
Shipibo,sh_31,7.9,-0.5654054054054054,Comprehension,Nai,Celeste,1,1,1,1,,
Shipibo,sh_31,7.9,-0.5654054054054054,Comprehension,Panshin,Amarillo,1,297,1,1,,
Shipibo,sh_31,7.9,-0.5654054054054054,Comprehension,Pei/Xo,Verde,2,"234, 320",0.5,0.5,0,62.08941536204057
Shipibo,sh_31,7.9,-0.5654054054054054,Comprehension,Wiso,Negro,1,312,1,1,,
Shipibo,sh_31,7.9,-0.5654054054054054,Comprehension,Yankon,Azul/Verde,4,"234, 320, 1, 297",0.75,0.75,1,
Shipibo,sh_31,7.9,-0.5654054054054054,Production,1,Celeste,1,agur,0,0,,
Shipibo,sh_31,7.9,-0.5654054054054054,Production,234,Verde,1,Verde,0,1,,
Shipibo,sh_31,7.9,-0.5654054054054054,Production,245,Rojo,1,Joshin,1,1,,
Shipibo,sh_31,7.9,-0.5654054054054054,Production,274,Blanco,1,Joxo,1,1,,
Shipibo,sh_31,7.9,-0.5654054054054054,Production,297,Amarillo,1,Naranja,0,0,,
Shipibo,sh_31,7.9,-0.5654054054054054,Production,312,Negro,1,Wiso,1,1,,
Shipibo,sh_31,7.9,-0.5654054054054054,Production,320,Mierda sol,1,Verde,0,0,,
Shipibo,sh_31,7.9,-0.5654054054054054,Production,325,Morado,1,Violeta,0,1,,
Shipibo,sh_32,8,-0.46540540540540576,Comprehension,Ami/Poa,Morado,1,320,0,0,0,100.49231861192177
Shipibo,sh_32,8,-0.46540540540540576,Comprehension,Barin Poi,Mierda sol,1,274,0,0,0,71.46716518793788
Shipibo,sh_32,8,-0.46540540540540576,Comprehension,Joshin,Rojo,2,"245, 320",1,1,,
Shipibo,sh_32,8,-0.46540540540540576,Comprehension,Joxo,Blanco,1,274,1,1,,
Shipibo,sh_32,8,-0.46540540540540576,Comprehension,Nai,Celeste,1,274,0,0,0,49.223397891653114
Shipibo,sh_32,8,-0.46540540540540576,Comprehension,Panshin,Amarillo,1,297,1,1,,
Shipibo,sh_32,8,-0.46540540540540576,Comprehension,Pei/Xo,Verde,2,"234, 297",0.5,0.5,0,119.88323068719829
Shipibo,sh_32,8,-0.46540540540540576,Comprehension,Wiso,Negro,1,312,1,1,,
Shipibo,sh_32,8,-0.46540540540540576,Comprehension,Yankon,Azul/Verde,4,"234, 1, 297, 274",0.5,0.5,1,
Shipibo,sh_32,8,-0.46540540540540576,Production,1,Celeste,1,,0,0,,
Shipibo,sh_32,8,-0.46540540540540576,Production,234,Verde,1,Yankon,1,1,,
Shipibo,sh_32,8,-0.46540540540540576,Production,245,Rojo,1,Joshin,1,1,,
Shipibo,sh_32,8,-0.46540540540540576,Production,274,Blanco,1,Joxo,1,1,,
Shipibo,sh_32,8,-0.46540540540540576,Production,297,Amarillo,1,Panshin,1,1,,
Shipibo,sh_32,8,-0.46540540540540576,Production,312,Negro,1,Wiso,1,1,,
Shipibo,sh_32,8,-0.46540540540540576,Production,320,Mierda sol,1,,0,0,,
Shipibo,sh_32,8,-0.46540540540540576,Production,325,Morado,1,,0,0,,
Shipibo,sh_33,11.1,2.634594594594594,Comprehension,Ami/Poa,Morado,1,312,0,0,1,49.65288410555826
Shipibo,sh_33,11.1,2.634594594594594,Comprehension,Barin Poi,Mierda sol,1,234,0,0,0,62.08941536204057
Shipibo,sh_33,11.1,2.634594594594594,Comprehension,Joshin,Rojo,2,"245, 297",0.5,0.5,1,93.1910736068643
Shipibo,sh_33,11.1,2.634594594594594,Comprehension,Joxo,Blanco,1,274,1,1,,
Shipibo,sh_33,11.1,2.634594594594594,Comprehension,Nai,Celeste,1,1,1,1,,
Shipibo,sh_33,11.1,2.634594594594594,Comprehension,Panshin,Amarillo,1,297,1,1,,
Shipibo,sh_33,11.1,2.634594594594594,Comprehension,Pei/Xo,Verde,2,"234, 320",0.5,0.5,0,62.08941536204057
Shipibo,sh_33,11.1,2.634594594594594,Comprehension,Wiso,Negro,1,312,1,1,,
Shipibo,sh_33,11.1,2.634594594594594,Comprehension,Yankon,Azul/Verde,4,"234, 1, 320, 325",1,1,,
Shipibo,sh_33,11.1,2.634594594594594,Production,1,Celeste,1,,0,0,,
Shipibo,sh_33,11.1,2.634594594594594,Production,234,Verde,2,"Yankon, Verde",0.5,1,,
Shipibo,sh_33,11.1,2.634594594594594,Production,245,Rojo,1,Joshin,1,1,,
Shipibo,sh_33,11.1,2.634594594594594,Production,274,Blanco,1,Joxo,1,1,,
Shipibo,sh_33,11.1,2.634594594594594,Production,297,Amarillo,2,"Panshin, Amarillo",0.5,1,,
Shipibo,sh_33,11.1,2.634594594594594,Production,312,Negro,2,"Wiso, Negro",0.5,1,,
Shipibo,sh_33,11.1,2.634594594594594,Production,320,Mierda sol,1,Marron,0,0,,
Shipibo,sh_33,11.1,2.634594594594594,Production,325,Morado,1,Violeta,0,1,,
Shipibo,sh_34,11,2.5345945945945942,Comprehension,Ami/Poa,Morado,1,325,1,1,,
Shipibo,sh_34,11,2.5345945945945942,Comprehension,Barin Poi,Mierda sol,1,312,0,0,1,67.19189385632764
Shipibo,sh_34,11,2.5345945945945942,Comprehension,Joshin,Rojo,2,"245, 297",0.5,0.5,1,93.1910736068643
Shipibo,sh_34,11,2.5345945945945942,Comprehension,Joxo,Blanco,1,274,1,1,,
Shipibo,sh_34,11,2.5345945945945942,Comprehension,Nai,Celeste,1,1,1,1,,
Shipibo,sh_34,11,2.5345945945945942,Comprehension,Panshin,Amarillo,1,297,1,1,,
Shipibo,sh_34,11,2.5345945945945942,Comprehension,Pei/Xo,Verde,2,"234, 320",0.5,0.5,0,62.08941536204057
Shipibo,sh_34,11,2.5345945945945942,Comprehension,Wiso,Negro,1,312,1,1,,
Shipibo,sh_34,11,2.5345945945945942,Comprehension,Yankon,Azul/Verde,4,"234, 320, 1, 245",0.75,0.75,1,
Shipibo,sh_34,11,2.5345945945945942,Production,1,Celeste,2,"Azul, unpasx",0,0.5,,
Shipibo,sh_34,11,2.5345945945945942,Production,234,Verde,2,"Yankon, Verde",0.5,1,,
Shipibo,sh_34,11,2.5345945945945942,Production,245,Rojo,1,Joshin,1,1,,
Shipibo,sh_34,11,2.5345945945945942,Production,274,Blanco,2,"Joxo, Blanco",0.5,1,,
Shipibo,sh_34,11,2.5345945945945942,Production,297,Amarillo,1,Panshin,1,1,,
Shipibo,sh_34,11,2.5345945945945942,Production,312,Negro,1,Wiso,1,1,,
Shipibo,sh_34,11,2.5345945945945942,Production,320,Mierda sol,3,"Yankon, Mai, chawa",0.3333333333333333,0.3333333333333333,0,
Shipibo,sh_34,11,2.5345945945945942,Production,325,Morado,1,Violeta,0,1,,
Shipibo,sh_35,7.5,-0.9654054054054058,Comprehension,Ami/Poa,Morado,1,325,1,1,,
Shipibo,sh_35,7.5,-0.9654054054054058,Comprehension,Barin Poi,Mierda sol,1,297,0,0,0,61.75681419892059
Shipibo,sh_35,7.5,-0.9654054054054058,Comprehension,Joshin,Rojo,2,"245, 297",0.5,0.5,1,93.1910736068643
Shipibo,sh_35,7.5,-0.9654054054054058,Comprehension,Joxo,Blanco,1,274,1,1,,
Shipibo,sh_35,7.5,-0.9654054054054058,Comprehension,Nai,Celeste,1,1,1,1,,
Shipibo,sh_35,7.5,-0.9654054054054058,Comprehension,Panshin,Amarillo,1,320,0,0,0,61.75681419892059
Shipibo,sh_35,7.5,-0.9654054054054058,Comprehension,Pei/Xo,Verde,2,"234, 320",0.5,0.5,0,62.08941536204057
Shipibo,sh_35,7.5,-0.9654054054054058,Comprehension,Wiso,Negro,1,312,1,1,,
Shipibo,sh_35,7.5,-0.9654054054054058,Comprehension,Yankon,Azul/Verde,4,"234, 1, 325, 320",1,1,,
Shipibo,sh_35,7.5,-0.9654054054054058,Production,1,Celeste,2,"agua, Nai",0.5,0.5,,
Shipibo,sh_35,7.5,-0.9654054054054058,Production,234,Verde,1,Yankon,1,1,,
Shipibo,sh_35,7.5,-0.9654054054054058,Production,245,Rojo,1,Joshin,1,1,,
Shipibo,sh_35,7.5,-0.9654054054054058,Production,274,Blanco,1,Joxo,1,1,,
Shipibo,sh_35,7.5,-0.9654054054054058,Production,297,Amarillo,1,Panshin,1,1,,
Shipibo,sh_35,7.5,-0.9654054054054058,Production,312,Negro,1,Wiso,1,1,,
Shipibo,sh_35,7.5,-0.9654054054054058,Production,320,Mierda sol,1,Panshin,0,0,0,61.75681419892059
Shipibo,sh_35,7.5,-0.9654054054054058,Production,325,Morado,1,Violeta,0,1,,
Shipibo,sh_36,8.7,0.23459459459459353,Comprehension,Ami/Poa,Morado,1,325,1,1,,
Shipibo,sh_36,8.7,0.23459459459459353,Comprehension,Barin Poi,Mierda sol,1,320,1,1,,
Shipibo,sh_36,8.7,0.23459459459459353,Comprehension,Joshin,Rojo,2,"245, 274",0.5,0.5,1,85.85165694382374
Shipibo,sh_36,8.7,0.23459459459459353,Comprehension,Joxo,Blanco,1,274,1,1,,
Shipibo,sh_36,8.7,0.23459459459459353,Comprehension,Nai,Celeste,1,1,1,1,,
Shipibo,sh_36,8.7,0.23459459459459353,Comprehension,Panshin,Amarillo,1,297,1,1,,
Shipibo,sh_36,8.7,0.23459459459459353,Comprehension,Pei/Xo,Verde,2,"234, 320",0.5,0.5,0,62.08941536204057
Shipibo,sh_36,8.7,0.23459459459459353,Comprehension,Wiso,Negro,1,312,1,1,,
Shipibo,sh_36,8.7,0.23459459459459353,Comprehension,Yankon,Azul/Verde,4,"234, 1, 320, 325",1,1,,
Shipibo,sh_36,8.7,0.23459459459459353,Production,1,Celeste,1,Nai,1,1,,
Shipibo,sh_36,8.7,0.23459459459459353,Production,234,Verde,1,Yankon,1,1,,
Shipibo,sh_36,8.7,0.23459459459459353,Production,245,Rojo,1,Joshin,1,1,,
Shipibo,sh_36,8.7,0.23459459459459353,Production,274,Blanco,1,Joxo,1,1,,
Shipibo,sh_36,8.7,0.23459459459459353,Production,297,Amarillo,1,Panshin,1,1,,
Shipibo,sh_36,8.7,0.23459459459459353,Production,312,Negro,1,Wiso,1,1,,
Shipibo,sh_36,8.7,0.23459459459459353,Production,320,Mierda sol,1,Barin Poi,1,1,,
Shipibo,sh_36,8.7,0.23459459459459353,Production,325,Morado,1,Poa,1,1,,
